OBJECTID,Bikeway Type,Status,On Street Name,From Street Name,To Street Name,Year Completed,District,Shape__Length
215,BBL,Complete,Hwy 96,Hwy 100,County Line,2014,35,9139.38167278355
216,BL,Complete,Hwy 70 S,I-40,Sawyer Brown Rd,2013,"22, 23, 34",11312.9275962172
217,SSR,Complete,Charlotte Pike,County Line,Sawyer Brown Rd,2007,"22, 35",37665.2013305834
218,BL,Complete,Harding Pk/Hwy 70 S,Old Hickory Blvd,Percy Warner Blvd,2013,"23, 34",15525.0129393841
219,SSR,Complete,Old Harding Pike,Hwy 70 S,Sawyer Brown Rd,2013,"22, 34, 35",7687.97693958991
220,BL,Complete,Sawyer Brown Rd,Hwy 70 S,Old Harding Pike,2004,"22, 35",7071.11010755473
221,BL,Complete,Bellevue Rd,Hwy 70  S,Todd Preis Dr / Baugh Rd,2007,22,2424.09416864329
222,BL,Complete,Beech Bend Dr,Old Harding Pike,Harpeth Bend Dr,2007,"22, 35",4362.01520750646
223,BL,Complete,Harpeth Bend Dr,Beech Bend Dr,Hwy 100,2007,"34, 35",10561.109211778
224,BL,Complete,Harpeth Knoll Rd,Beech Bend Dr,Harpeth Bend Dr,2007,35,2191.91402558374
225,BL,Complete,Ashland City Hwy,County Line,Briley Pkwy,2013,01,35827.3693226794
226,SSR,Complete,River Trc,County Line,Ashland City Hwy,2008,01,9532.91754325454
227,SSR,Complete,Old Hickory Blvd,Ashland City Hwy,Dead End,2008,01,33287.9681319286
228,SSR,Complete,Old Hickory Blvd,Eatons Creek Rd,Ashland City Hwy,2011,01,21314.0006921122
229,SSR,Complete,Eatons Creek Rd,Kings Ln,Ashland City Hwy,2011,01,2554.62533797048
230,WOL,Complete,Clarksville Pike,Ashland City Hwy,County Hospital Rd,2010,02,2024.06281418227
231,BL,Complete,Whites Creek Pike,Buena Vista Pike,Green Ln,2017,03,7102.91326359552
232,SSR,Complete,Eatons Creek Rd,Old Hickory Blvd,Ashland City Hwy,2011,01,19743.0135927906
233,BL,Complete,Clarksville Pike,Old Hickory Blvd,Briley Pkwy,2012,"01, 03",23718.5191382663
234,SSR,Complete,Whites Creek Pike,County Line,I-24,2012,01,26383.8121776866
235,SSR,Complete,Whites Creek Pike,I-24,Old Clarksville Pike,2012,"01, 03",4180.89506082562
236,BL,Complete,W Trinity Ln,Whites Creek Pk / Baptist World Center Dr,Brick Church Pike,2013,02,4275.49803772452
237,BL,Complete,Douglas Ave,Dickerson Pike,Stockell Ave,2007,05,1123.90173342206
238,SSR,Complete,Douglas Ave,Stockell Ave,Pennock Ave,2007,05,773.85218258515
239,BL,Complete,Douglas Ave,Pennock Ave,Ellington Pkwy,2007,05,3940.07267623626
240,BL,Complete,Douglas Ave,Ellington Pkwy,Cline Ave,2007,05,360.787066029289
241,SSR,Complete,Dickerson Pike,Briley Pkwy,Douglas Ave,2007,"02, 03, 05, 08",18013.0904756869
242,SSR,Complete,Hart Ln,Dickerson Pike,Ellington Pkwy,2007,08,4432.90143956202
243,SSR,Complete,Dickerson Pike,Douglas Ave,Spring St,2007,05,6786.13800855154
244,SSR,Complete,Spring St,N 1st St,Main St,2007,"05, 06",3697.56827949143
245,SSR,Complete,Hart Ln,Ellington Pkwy,Saunders Ave,2007,08,2943.32512397374
246,SSR,Complete,Porter Rd,Riverside Dr,Rosebank Ave,2012,07,4376.41801751275
247,WOL,Complete,Rosebank Ave,Porter Rd,Shelby Bottoms Greenway,2012,07,2242.27087704646
248,SSR,Complete,Preston Dr,Porter Rd,Rosebank Ave,2012,"06, 07",3428.24815934683
249,BL,Complete,Eastland Ave,Gallatin Pike,Porter Rd,2006,06,4411.38834207765
250,BL,Complete,Douglas Ave,Cline Ave,Gallatin Ave,2007,"05, 06",2131.08500775002
251,SSR,Complete,Greenwood Ave,Gallatin Pike,Porter Rd,2006,"05, 06",4833.72416981109
252,BL,Complete,Greenwood Ave,Porter Rd,Riverside Dr,2012,06,802.834257645251
253,BBL,Complete,Cahal Ave,Gallatin Pike,Scott Ave,2022,07,2842.37067801668
254,BBL,Complete,Harding Pl,Harding Industrial Dr,Ezell Pike,2014,"13, 28",3848.56931841208
255,SSR,Complete,Donelson Pike,Murfreesboro Pike,Harding Pl,2015,"13, 28",5239.7610087327
256,SSR,Complete,Harding Pl,I-24,Ezell Pike,2014,"13, 28, 30",3768.73601649441
257,SSR,Complete,Dickerson Pike,County Line,Long Hollow Pike,2014,10,6146.20100781175
258,BL,Complete,Mulberry Downs Cir,Berrywood Way,Dickerson Pike,2014,"03, 08",3342.1590047453
259,SSR,Complete,Vanderbilt Pl,31st Ave S,Natchez Trc,2014,"18, 21",1516.12273708893
260,SSR,Complete,Jess Neely Dr,Natchez Trc,25th Ave S,2014,18,1049.6945031129
